,REF_DATE,GEO,Population,IND_VALUE,RATE,NewHomes,PopChange,PriceChange,PriceChangeR,Shortfall,ShortfallP
0,2001,"Vancouver, British Columbia",2074568.0,73.50833333333334,4.244576494023904,8004,,,,,
1,2002,"Vancouver, British Columbia",2098557.0,75.33333333333333,2.438778486055777,12068,23989.0,1.8249999999999886,0.31833333333332203,147.0,0.00700481330742982
2,2003,"Vancouver, British Columbia",2116185.0,77.81666666666666,2.9329581673306775,13394,17628.0,2.4833333333333343,0.9270000000000009,9160.0,0.43285440545131926
3,2004,"Vancouver, British Columbia",2134020.0,81.64999999999999,2.2506337301587305,14302,17835.0,3.8333333333333286,2.2003333333333286,10769.0,0.5046344457877621
4,2005,"Vancouver, British Columbia",2159646.0,85.225,2.638006,15834,25626.0,3.575000000000003,1.870500000000003,6042.0,0.2797680731008693
5,2006,"Vancouver, British Columbia",2188743.0,91.075,3.9940248,18072,29097.0,5.8500000000000085,4.028500000000008,7047.0,0.32196562136349494
6,2007,"Vancouver, British Columbia",2216948.0,97.575,4.34051952191235,17816,28205.0,6.5,4.5485,7427.0,0.3350101130021994
7,2008,"Vancouver, British Columbia",2253672.0,99.80833333333334,3.043022310756972,19150,36724.0,2.2333333333333343,0.23716666666666741,1576.0,0.06993031816519885
8,2009,"Vancouver, British Columbia",2301469.0,93.50833333333333,0.4240816,16788,47797.0,-6.300000000000011,-8.170166666666677,-14221.0,-0.6179096915926306
9,2010,"Vancouver, British Columbia",2344847.0,96.56666666666666,0.5850836,16474,43378.0,3.058333333333337,1.1270000000000038,-10430.0,-0.44480514080449596
10,2011,"Vancouver, British Columbia",2374642.0,96.26666666666667,0.9972819277108435,12919,29795.0,-0.29999999999999716,-2.2253333333333307,-3957.0,-0.16663564444661555
11,2012,"Vancouver, British Columbia",2418938.0,95.75,1.0006468,16958,44296.0,-0.5166666666666657,-2.4316666666666658,-10380.0,-0.42911393346997734
12,2013,"Vancouver, British Columbia",2459426.0,94.76666666666667,1.0030124,18392,40488.0,-0.9833333333333343,-2.8786666666666676,-3704.0,-0.15060424668194936
13,2014,"Vancouver, British Columbia",2507414.0,93.65833333333335,0.9997448000000001,17731,47988.0,-1.10833333333332,-2.981499999999987,-12526.0,-0.49955850928486484
14,2015,"Vancouver, British Columbia",2544484.0,94.55833333333334,0.6488304,17346,37070.0,0.8999999999999915,-0.9911666666666754,-2378.0,-0.09345706241422622
15,2016,"Vancouver, British Columbia",2582202.0,98.93333333333334,0.5007543999999999,18148,37718.0,4.375,2.396333333333333,-1422.0,-0.05506927808126553
16,2017,"Vancouver, British Columbia",2616904.0,105.10000000000001,0.6904273092369478,21806,34702.0,6.166666666666671,4.064666666666671,8910.0,0.34047867250766556
17,2018,"Vancouver, British Columbia",2658582.0,108.90833333333335,1.3982168,24555,41678.0,3.808333333333337,1.6301666666666703,7432.0,0.2795475181882673
18,2019,"Vancouver, British Columbia",2709277.0,107.40833333333335,1.746866,22603,50695.0,-1.5,-3.648166666666667,-5489.0,-0.20260017709521766
19,2020,"Vancouver, British Columbia",2743765.0,108.83333333333333,0.5413509960159363,24039,34488.0,1.424999999999983,-0.7516666666666838,13590.0,0.49530480926755754
20,2021,"Vancouver, British Columbia",2764932.0,120.71666666666665,0.1864281124497992,25229,21167.0,11.883333333333326,9.468999999999992,29291.0,1.059375058771789
21,2022,"Vancouver, British Columbia",2842730.0,128.525,1.8788707818930042,21440,77798.0,7.808333333333351,5.237833333333351,-34918.0,-1.2283262919798925
